Average Demands,Mon to Fri,Sat
Countdown Airport,8,4
Countdown Auckland City,9,4
Countdown Aviemore Drive,8,5
Countdown Birkenhead,8,3
Countdown Blockhouse Bay,8,4
Countdown Botany Downs,9,5
Countdown Browns Bay,9,5
Countdown Glenfield,8,4
Countdown Greenlane,9,3
Countdown Grey Lynn,9,6
Countdown Grey Lynn Central,9,5
Countdown Hauraki Corner,8,5
Countdown Henderson,8,3
Countdown Highland Park,8,6
Countdown Hobsonville,9,4
Countdown Howick,9,4
Countdown Kelston,9,5
Countdown Lincoln Road,9,4
Countdown Lynfield,9,4
Countdown Lynmall,7,4
Countdown Mairangi Bay,9,4
Countdown Mangere East,8,4
Countdown Mangere Mall,8,6
Countdown Manukau,8,4
Countdown Manukau Mall,9,4
Countdown Manurewa,9,5
Countdown Meadowbank,8,3
Countdown Meadowlands,9,0
Countdown Milford,5,0
Countdown Mt Eden,4,4
Countdown Mt Roskill,9,5
Countdown Mt Wellington,8,5
Countdown Newmarket,8,4
Countdown Northcote,9,4
Countdown Northwest,8,5
Countdown Onehunga,8,4
Countdown Pakuranga,8,4
Countdown Papakura,8,4
Countdown Papatoetoe,8,5
Countdown Ponsonby,8,3
Countdown Pt Chevalier,9,4
Countdown Roselands,9,5
Countdown St Johns,9,5
Countdown St Lukes,9,4
Countdown Sunnynook,8,3
Countdown Sylvia Park,8,4
Countdown Takanini,9,4
Countdown Takapuna,9,5
Countdown Te Atatu,8,3
Countdown Te Atatu South,8,4
Countdown Three Kings,8,4
Countdown Victoria Street West,8,4
Countdown Westgate,10,4
Countdown Metro Albert Street,5,-
Countdown Metro Halsey Street,4,-
FreshChoice Glen Eden,5,-
FreshChoice Half Moon Bay,5,-
FreshChoice Mangere Bridge,5,-
FreshChoice Otahuhu,4,-
FreshChoice Ranui,5,-
SuperValue Avondale,5,-
SuperValue Flatbush,5,-
SuperValue Palomino,5,-
SuperValue Papakura,5,-
SuperValue Titirangi,5,-
