Average Demands,Mon to Fri,Sat,Zone
Countdown Airport,7.1,4.75,SR1
Countdown Auckland City,8.05,3.5,SR5
Countdown Aviemore Drive,7.7,4.0,SR2
Countdown Birkenhead,8.0,4.25,SR4
Countdown Blockhouse Bay,7.2,2.25,SR3
Countdown Botany Downs,8.2,3.5,SR2
Countdown Browns Bay,8.15,4.25,SR4
Countdown Glenfield,7.05,4.5,SR4
Countdown Greenlane,8.35,3.5,SR5
Countdown Grey Lynn,8.6,3.0,SR5
Countdown Grey Lynn Central,8.3,5.5,SR5
Countdown Hauraki Corner,7.3,4.25,SR4
Countdown Henderson,7.9,4.25,SR3
Countdown Highland Park,7.65,2.75,SR2
Countdown Hobsonville,8.6,6.0,SR3
Countdown Howick,8.95,4.0,SR2
Countdown Kelston,8.15,4.0,SR3
Countdown Lincoln Road,8.4,4.5,SR3
Countdown Lynfield,8.15,3.5,SR3
Countdown Lynmall,6.95,4.0,SR3
Countdown Mairangi Bay,8.7,3.5,SR4
Countdown Mangere East,7.95,3.5,SR1
Countdown Mangere Mall,7.15,3.75,SR1
Countdown Manukau,12.0,6.0,SR1
Countdown Manurewa,8.05,3.5,SR1
Countdown Meadowbank,8.0,4.25,SR2
Countdown Meadowlands,8.15,3.0,SR2
Countdown Metro Albert Street,4.25,0.0,SR5
Countdown Metro Halsey Street,3.85,0.0,SR5
Countdown Milford,8.25,3.5,SR4
Countdown Mt Eden,7.65,4.75,SR5
Countdown Mt Roskill,8.0,4.25,SR5
Countdown Mt Wellington,8.55,3.75,SR2
Countdown Newmarket,7.5,3.25,SR5
Countdown Northcote,7.45,4.5,SR4
Countdown Northwest,7.9,3.25,SR3
Countdown Onehunga,7.7,3.75,SR5
Countdown Pakuranga,7.55,3.25,SR2
Countdown Papakura,7.2,4.5,SR1
Countdown Papatoetoe,8.75,2.75,SR1
Countdown Ponsonby,8.65,3.25,SR5
Countdown Pt Chevalier,8.2,4.5,SR5
Countdown Roselands,8.55,4.75,SR1
Countdown St Johns,7.2,3.5,SR5
Countdown St Lukes,7.05,3.0,SR5
Countdown Sunnynook,8.5,3.25,SR4
Countdown Sylvia Park,8.2,3.5,SR2
Countdown Takanini,8.0,4.5,SR1
Countdown Takapuna,7.7,2.5,SR4
Countdown Te Atatu,7.6,3.75,SR3
Countdown Te Atatu South,7.9,3.5,SR3
Countdown Three Kings,9.05,4.0,SR5
Countdown Victoria Street West,9.4,4.0,SR5
Countdown Westgate,8.15,5.5,SR3
FreshChoice Glen Eden,4.1,0.0,SR3
FreshChoice Half Moon Bay,4.6,0.0,SR2
FreshChoice Mangere Bridge,4.6,0.0,SR3
FreshChoice Otahuhu,3.75,0.0,SR2
FreshChoice Ranui,4.75,0.0,SR3
SuperValue Avondale,4.45,0.0,SR3
SuperValue Flatbush,4.65,0.0,SR1
SuperValue Palomino,4.85,0.0,SR3
SuperValue Papakura,4.75,0.0,SR1
SuperValue Titirangi,4.35,0.0,SR3
